S,E,累计确诊,治愈人数,死亡人数
7576336767.816141,5965486.1838588,1875814.0,816563.0,209548.0
7576249399.254227,5971295.364353276,1915698.8028066633,854058.6716918945,213726.90692138672
7576160174.032872,5978881.781897778,1954776.9154405445,892351.6012523915,217994.66853652606
7576069129.789049,5988183.501358746,1993090.5581361465,931425.6637405981,222349.487714601
7575976302.192883,5999141.4012173,2030680.1663601946,971265.5781564666,226789.66138232374
7575881725.030808,6011699.051946844,2067584.4689308468,1011856.8717650459,231313.57654786005
7575785430.28509,6025802.599689371,2103840.562738541,1053185.845982261,235919.7064987863
7575687448.209862,6041400.655000167,2139483.9842164214,1095239.5437542868,240606.60716650827
7575587807.403841,6058444.18644055,2174548.77770185,1138005.7183655465,245372.91364990055
7575486534.879862,6076886.41880788,2209067.56082436,1181472.803613188,250217.33689124073
7575383656.131361,6096682.735801224,2243071.5870495127,1225629.8852886017,255138.66049781354
7575279195.195954,6117790.586929794,2276590.805502482,1270466.6739091289,260135.73770284938
7575173174.716224,6140169.398479691,2309653.9181898218,1315973.478645583,265207.48845973663
7575065615.997846,6163780.488362442,2342288.43473269,1362141.1823935788,270352.89666371176
7574956539.065167,6188586.984676558,2374520.7247199025,1408961.2179389251,275571.0074954832
7574845962.714342,6214553.747820601,2406376.067784447,1456425.5451695018,280860.9248814864
7574733904.564138,6241647.296003323,2437878.7015026035,1504526.6292881179,286221.8090656986
7574620381.104513,6269835.734003111,2469051.8672104767,1553257.4199828263,291652.8742881623
7574505407.743055,6299088.685035418,2499917.853828646,1602611.3315130651,297153.38656557817
7574388998.849382,6329377.225592994,2530498.0397816673,1652582.2236718102,302722.6615695299
7574271167.797589,6360673.823129602,2560812.9330954067,1703164.3835856589,308360.06259809626
7574151927.00683,6392952.2764635375,2590882.2097515534,1754352.5083164172,314064.9986367915
7574031287.980106,6426187.658782638,2620724.750375227,1806141.6882293588,319836.92250495136
7573909261.341354,6460356.263137612,2650358.6753282743,1858527.3910948304,325675.32908385125
7573785856.870892,6495435.550315448,2679801.3782776967,1911505.4468913397,331579.7536230042
7573661083.539303,6531404.098989365,2709069.558305625,1965072.033279642,337549.77012124244
7573534949.53983,6568241.558046259,2738179.250624373,2019223.6617186735,343584.989779333
7573407462.319328,6605928.600996931,2767145.8559573255,2073957.1641954486,349685.0595210194
7573278628.607855,6644446.882378478,2795984.1686437787,2129269.680542252,355849.66057951807
7573148454.446951,6683778.996062184,2824708.403523322,2185158.6463156184,362078.50714662607
7573016945.216667,6723908.435384017,2853332.221652927,2241621.781212706,368371.3450817214
