S,E,累计确诊,治愈人数,死亡人数
7566831596.765537,8956523.234462392,3852277.0,5081221.0,482561.0
7566351111.217294,9297336.438565006,3864864.6445254604,5205366.6455078125,485500.054107666
7565869086.251435,9634374.254761798,3882351.834447784,5329917.947528653,488448.7118259624
7565384911.134578,9968306.29165805,3904518.060984198,5455032.801568474,491410.71121137484
7564898002.789052,10299764.05994281,3931160.5320264753,5580861.99689316,494389.6220855388
7564407803.576685,10629343.78272802,3962092.993559378,5707549.787476044,497388.85955198965
7563913779.230691,10957609.013946341,3997144.6337857065,5835234.424963797,500411.6966137262
7563415416.925256,11285093.078227576,4036159.064236275,5964048.656326032,503461.2759546882
7562912223.473109,11612301.344736228,4078993.3725411724,6094120.188669584,506540.62094388215
7562403723.642066,11939713.34658153,4125517.241908946,6225572.1235268675,509652.64591682923
7561889458.582141,12267784.756601347,4175612.132704832,6358523.362768074,512800.165785229
7561368984.355432,12596949.229568418,4229170.521839639,6493088.988138444,515985.90502221696
7560841870.561502,12927620.120167328,4286095.195979068,6629380.616283666,519212.5060673217
7560307699.05151,13260192.08543965,4346298.594860664,6767506.730997835,522482.53719218366
7559766062.724773,13595042.579789458,4409702.201263718,6907572.994308774,525798.4998652646
7559216564.401949,13932533.250078466,4476235.974417598,7049682.537904187,529162.8356511409
7558658815.76935,14273011.237816617,4545837.823857438,7193936.236298504,532577.9326775215
7558092436.389344,14616810.394967088,4618453.1209440585,7340432.9630439095,536046.1317008502
7557517052.772111,14964252.419431824,4694034.245458452,7489269.831199333,539569.7317992267
7556932297.504369,15315647.91586257,4772540.164861195,7640542.41918774,543150.9957194069
7556337808.430977,15671297.387050569,4853936.043974685,7794344.9830944,546792.1549028031
7555733227.885613,16031492.160783663,4938192.883001974,7950770.656386552,550495.4142136968
7555118201.966979,16396515.256720502,5025287.18194104,8109911.63796767,554262.9563912802
7554492379.857232,16766642.19751619,5115200.629588315,8271859.369416942,558096.9462456664
7553855413.1795845,17142141.76814027,5207919.815450919,8436704.702206409,561999.5346166291
7553206955.392193,17523276.727054965,5303435.963003935,8604538.055634025,565972.8621125481
7552546661.215687,17910304.472667594,5401744.682837853,8775449.566160519,570019.0626458458
7551874186.09185,18303477.6682348,5502845.744342536,8949529.228791036,574140.266780091
7551189185.671152,18703044.828176297,5606742.8646682715,9126867.031098949,578338.6049029109
7550491315.326968,19109250.86855129,5713443.513792164,9307553.08044861,582616.2102378934
7549780229.694494,19522337.624260284,5822958.73459967,9491677.724936053,586975.2217077665
