S,E,累计确诊,治愈人数,死亡人数
6972432606.6762,489495657.3237998,24639957.0,95919913.0,2716045.0
6972431915.470899,488854004.98463905,24695026.178708598,96495908.08856201,2727324.277191162
6972431222.720854,488213196.20226365,24747940.813985944,97073190.49984407,2738628.763051777
6972430528.4865055,487573229.8092711,24798753.36467486,97651709.86823742,2749957.4713101326
6972429832.826822,486934104.6412625,24847515.037770182,98231417.05443557,2761309.4397082687
6972429135.799336,486295819.5368033,24894275.818259556,98812264.11617056,2772683.729428928
6972428437.460177,485658373.3373854,24939084.4982529,99394204.27964671,2784079.4245361635
6972427737.864107,485021764.8873896,24981988.705417573,99977191.91165543,2795495.631429285
6972427037.064549,484385993.03404933,25023034.93073577,100561182.49235459,2806931.4783098167
6972426335.113626,483751056.6274149,25062268.555600256,101146132.58869685,2818386.1146611664
6972425632.062183,483116954.5203187,25099733.87826429,101731999.82849146,2829858.7107406952
6972424927.959828,482483685.5683412,25135474.13966106,102318742.87508419,2841348.457083895
6972424222.854952,481851248.6297777,25169531.548607696,102906321.40264097,2852854.564020385
6972423516.794763,481219642.56560576,25201947.306408532,103494696.07202065,2864376.261201449
6972422809.825312,480588866.2394534,25232761.63087191,104083828.50722295,2875912.797138831
6972422101.991524,479958918.517568,25262013.779754527,104673681.27239776,2887463.4387545255
6972421393.337222,479329798.26878613,25289742.073646955,105264217.84940252,2899027.470941303
6972420683.905153,478701504.3645037,25315983.91831369,105855402.61589463,2910604.196133707
6972419973.737016,478074035.6786469,25340775.82650066,106447200.82394603,2922192.933889283
6972419262.873485,477447391.087644,25364153.439222977,107039578.57916757,2933793.020479783
6972418551.354233,476821569.47039735,25386151.54654523,107632502.82033105,2945403.8084921227
6972417839.217959,476196569.7082566,25406804.107866496,108225941.29947698,2957024.6664388445
6972417126.50241,475572390.6849919,25426144.27172182,108819862.56249657,2968654.9783778703
6972416413.2444,474949031.28676814,25444204.39511171,109414235.93017659,2980294.143541317
6972415699.479838,474326490.40211946,25461016.06237089,110009031.47969611,2991941.5759731615
6972414985.243747,473704766.9219246,25476610.103587303,110604220.02656427,3003596.7041755407
6972414270.570282,473083859.7393826,25491016.612582088,111199773.1069887,3015258.9707634863
6972413555.492757,472463767.74998915,25504264.964460958,111795662.96066417,3026927.8321278887
6972412840.04366,471844489.8515134,25516383.83274726,112391862.51397157,3038602.7581064934
6972412124.254677,471226024.94397515,25527401.206106618,112988345.36357741,3050283.2316627437
6972411408.156706,470608371.92962295,25537344.404672954,113585085.76042426,3061968.7485722774
