S,E,累计确诊,治愈人数,死亡人数
7572971924.564616,6723908.435384017,2837068.0,2321417.0,349861.0
7572796103.935376,6788101.678489841,2864972.0964614535,2401071.0087890625,353930.28088378906
7572618558.137415,6852954.382179432,2893118.4372762805,2481508.4577863934,358039.5853434353
7572439272.2800455,6918470.489063019,2921510.8217690615,2562736.1482860935,362189.26083635475
7572258231.239749,6984654.109131017,2950153.0025979066,2644760.9882527543,366379.66026943416
7572075419.663125,7051509.514020871,2979048.6899103792,2727589.9910112405,370611.1419320959
7571890821.969594,7119041.131635906,3008201.555281596,2811230.274053158,374884.0694353243
7571704422.353847,7187253.541096781,3037615.2354467763,2895689.057953886,379198.81165633973
7571516204.78807,7256151.468007272,3067293.335839831,2980973.6653944086,383555.7426886273
7571326153.023954,7325739.7800170705,3097239.433948926,3067091.5202824897,387955.2417970401
7571134250.594489,7396023.482665309,3127457.0824993616,3154050.1469680676,392397.69337771635
7570940480.815566,7467007.715489389,3157949.8124735146,3241857.169548006,396883.486922561
7570744826.787395,7538697.748384591,3188721.135977065,3330520.311255636,401413.0169880595
7570547271.39574,7611098.978200711,3219774.548960201,3420047.3939307733,405986.6831682024
7570347797.312997,7684216.925562789,3251113.5338020185,3510446.3375661303,410604.8900713131
7570146386.999103,7758057.231903667,3282741.561765874,3601725.1599262943,415268.04730058234
7569943022.702295,7832625.656696846,3314662.0953330123,3693891.976235639,419976.56943812495
7569737686.459735,7907928.074878716,3346878.590421393,3786954.9989317562,424730.8760323831
7569530360.097983,7983970.474449875,3379394.4984962386,3880922.537481185,429531.39158871263
7569321025.233357,8060758.9542458085,3412213.2685784795,3975802.998254395,434378.5455629962
7569109663.27216,8138299.721867759,3445338.34915692,4071604.88445716,439272.7723581374
7568896255.410786,8216599.091765112,3478773.1900096214,4168336.796115618,444214.5113232978
7568680782.635731,8295663.483461135,3512521.2439397033,4266007.43011247,449204.2067557457
7568463225.723478,8375499.419914326,3546585.9684304614,4364625.58027191,454242.30790519534
7568243565.240296,8456113.526008105,3580970.8272244413,4464200.137491027,459329.2689805198
7568021781.541933,8537512.527161956,3615679.291830837,4564740.089915541,464465.5491587287
7567797854.773223,8619703.24805752,3650714.8429653486,4666254.523157862,469651.6125961081
7567571764.867603,8702692.611473517,3686080.971926402,4768752.62055557,474887.92844142584
7567343491.546545,8786487.637223702,3721781.1819114103,4872243.663468543,480174.9708511103
7567113014.318912,8871095.441192389,3757818.989276564,4976737.031613029,485513.2190063177
7566880312.480231,8956523.234462392,3794197.924743429,5082242.203431096,490903.15713180596
