S,E,累计确诊,治愈人数,死亡人数
7029571460.673278,386964537.3354864,13760222.88225843,151531488.54748112,3376469.5614962275
7029569047.831745,386388298.3519745,13689245.044252232,152174819.28037968,3382768.4916486284
7029566647.436931,385812908.60726696,13620756.433669142,152814831.59140855,3389034.930725282
7029564259.052338,385238367.26794094,13554640.802275497,153451641.85924244,3395270.0182040734
7029561882.261855,384664673.48143524,13490787.388751078,154085361.02761054,3401474.84034867
7029559516.668794,384091826.377041,13429090.659619506,154716094.86182582,3407650.4327202295
7029557161.894971,383519825.0668456,13369450.06241097,155343944.19320208,3413797.782570519
7029554817.579836,382948668.64663196,13311769.790479725,155969005.1519305,3419917.8311220375
7029552483.379638,382378356.196735,13255958.558926072,156591369.388961,3426011.475740482
7029550158.966633,381808886.7828578,13201929.391098484,157211124.28740686,3432079.572004639
7029547844.028329,381240259.45684856,13149599.415176352,157828353.16396824,3438122.9356785426
7029545538.266767,380672473.2574417,13098889.670357347,158443135.46084476,3444142.344590519
7029543241.397831,380105527.2109629,13049724.922195923,159055546.9285873,3450138.5404235073
7029540953.150601,379539420.3320012,13002033.486660883,159665659.80031592,3456112.23042085
7029538673.266727,378974151.6240491,12955747.062500296,160273542.9577123,3462064.0890115458
7029536401.499833,378409720.08011246,12910800.571521556,160879262.0891744,3467994.7593587595
7029534137.614957,377846124.68329114,12867132.006412832,161482879.84050408,3473904.8548352253
7029531881.388009,377283364.4073326,12824682.285749841,162084455.95847967,3479794.960428981
7029529632.60526,376721438.2171586,12783395.115848694,162684047.42764986,3485665.6340827364
7029527391.062852,376160345.06936765,12743216.859141527,163281708.60066867,3491517.4079699963
7029525156.566332,375600083.9127128,12704096.408766985,163877491.32247669,3497350.789710936
7029522928.93021,375040653.6885575,12665985.06908208,164471445.048619,3503166.263530867
7029520707.977533,374482053.3313092,12628836.441815848,165063616.95797673,3508964.291364004
7029518493.539487,373924281.7688328,12592606.317598421,165654052.0601759,3514745.3139051185
7029516285.455007,373367337.9228442,12557252.57261171,166242793.29792494,3520509.7516115387
7029514083.5704155,372811220.709285,12522735.070119856,166829881.64452043,3526258.005657839
7029511887.739075,372255929.03868014,12489015.566649072,167415356.19674894,3531990.458845455
7029509697.821052,371701461.81647724,12456057.622597324,167999254.26340258,3537707.4764693487
7029507513.682803,371147817.9433711,12423826.517064707,168581611.44961533,3543409.4071437554
7029505335.196875,370594996.31561196,12392289.166705217,169162461.73721737,3549096.5835889447
7029503162.241612,370042995.82529926,12361414.048410045,169741837.5612955,3554769.3233808326
7029500994.700891,369491815.3606615,12331171.125641495,170319769.8831389,3560427.9296652
7029498832.463851,368941453.80632275,12301531.778245144,170896288.25974053,3566072.6918381928
7029496675.424653,368391910.0435563,12272468.735576011,171471420.91001737,3571703.886194689
7029494523.482239,367843182.95052636,12243956.012782274,172045194.7779038,3577321.776546058
7029492376.540107,367295271.4025183,12215968.850097429,172617635.59246624,3582926.6148087448
7029490234.506097,366748174.2721575,12188483.654998865,173188767.92517954,3588518.641565076
7029488097.292186,366201890.4296183,12161477.947097488,173758615.24449894,3594098.0865975767
7029485964.814292,365656418.7428225,12134930.305629462,174327199.96785566,3599665.169398067
7029483836.992091,365111758.0776287,12108820.319427198,174894543.51119748,3605220.099652719
7029481713.748838,364567907.2980121,12083128.539252529,175460666.33619022,3610763.077704215
7029479595.011198,364024865.2662363,12057836.432380542,176025587.99519092,3616294.294992081
7029477480.709084,363482630.84301656,12032926.339327788,176589327.1740974,3621813.9344722354
7029475370.775507,362941202.88767505,12008381.432623634,177151901.73317486,3627322.1710167276
7029473265.14643,362400580.258289,11984185.677528277,177713328.745955,3632819.171794601
7029471163.760627,361860761.8118315,11960323.794605512,178273624.53629842,3638305.0966347777
7029469066.559549,361321746.4043055,11936781.224062672,178832804.71370736,3643780.0983718103
7029466973.487205,360783532.89087176,11913544.091774309,179390884.20697102,3649244.323175306
7029464884.49003,360246120.12596995,11890599.176910108,179947877.2962227,3654697.9108638014
7029462799.516785,359709506.9634345,11867933.881091291,180503797.643483,3660140.9952038177
7029460718.518433,359173692.25660473,11845536.19900335,181058658.32176158,3665573.704194796
7029458641.448047,358638674.8584293,11823394.690396326,181612471.84278432,3670996.1603405797
7029456568.260704,358104453.6215663,11801498.453407133,182165250.183412,3676408.480908083
7029454498.913393,357571027.3984777,11779837.099141512,182717004.81081128,3681810.7781737414
7029452433.364925,357038395.04151964,11758400.727456123,183267746.70643765,3687203.1596583338
7029450371.575848,356506555.40302867,11737179.90388411,183817486.38888586,3692585.7283507115
7029448313.508361,355975507.33540297,11716165.637650171,184366233.93566167,3697958.582920971
7029446259.126244,355445249.6911803,11695349.360723661,184913999.00392583,3703321.8179235575
7029444208.394775,354915781.32311183,11674722.907860728,185460790.8502585,3708675.5239907834
7029442161.280668,354387101.08423257,11654278.497588797,186006618.34949076,3714019.7880172087
7029440117.751998,353859207.8279281,11634008.714088876,186551490.01264706,3719354.693335319
7029438077.778142,353332100.4079983,11613906.48993333,187095414.00404063,3724680.319882906
7029436041.329717,352805777.67871773,11593965.0896387,187638398.1575617,3729996.744362551
7029434008.378519,352280238.4948931,11574178.093995098,188180449.9921969,3735304.040393574
7029431978.897471,351755481.71191794,11554539.385135503,188721576.72681606,3740602.2786568166
7029429952.86057,351231506.18582475,11535043.132310042,189261785.29426074,3745891.5270325807
7029427930.242832,350708310.77333415,11515683.778331941,189801082.35476792,3751171.8507320634
7029425911.02025,350185894.3319019,11496456.02666345,190339474.30875975,3756443.312422584
7029423895.169746,349664255.7197636,11477354.829111524,190876967.3090298,3761705.9723468986
7029421882.6691265,349143393.7959768,11458375.374104457,191413567.27235374,3766959.888436885
7029419873.497041,348623307.4204618,11439513.075522061,191949279.89055222,3772205.1164218574
7029417867.632943,348103995.45403916,11420763.562053233,192484110.64103135,3777441.7099317703
7029415865.0570545,347585456.75846666,11402122.667056011,193018064.7968256,3782669.720595552
7029413865.750327,347067690.1964735,11383586.418896403,193551147.4361667,3787889.198134793
7029411869.694408,346550694.63179296,11365151.031743385,194083363.45160094,3793100.1904530134
7029409876.87161,346034468.9291938,11346812.896798508,194614717.55867586,3798302.743720718
7029407887.264876,345519011.9545093,11328568.573939621,195145214.3042171,3803496.9024564354
7029405900.857756,345004322.5746657,11310414.783759136,195674858.07421452,3808682.70960393
7029403917.634371,344490399.6577085,11292348.399978215,196203653.10133606,3813860.206605773
7029401937.579392,343977242.07282764,11274366.44221913,196731603.472087,3819029.433473439
7029399960.678014,343464848.6903814,11256466.069118885,197258713.13363117,3824190.4288540934
7029397986.915928,342953218.3819191,11238644.571767975,197784985.9002904,3829343.23009423
7029396016.279301,342442350.0202024,11220899.367458953,198310425.45973706,3834487.8733003004
7029394048.754752,341932242.4792258,11203227.993730148,198835035.3788944,3839624.3933964884
7029392084.329334,341422894.63423586,11185628.102690633,199358819.10955828,3844752.824179751
7029390122.99051,340914305.3617491,11168097.455613123,199881779.9937539,3849873.1983722667
7029388164.726136,340406473.5395697,11150633.917782186,200403921.26883933,3854985.547671406
7029386209.524442,339899398.04680544,11133235.453585697,200925246.07236844,3860089.902797344
7029384257.374014,339393077.7638835,11115900.121838056,201445757.44672433,3865186.2935384265
7029382308.263782,338887511.5725646,11098626.071324209,201965458.3435339,3870274.748794395
7029380362.182996,338382698.3559572,11081411.536554083,202484351.62787437,3875355.296617572
7029378419.121218,337878636.99853027,11064254.833717454,203002440.08228114,3880427.964252103
7029376479.068305,337375326.38612556,11047154.356829826,203519726.4105665,3885492.7781713465
7029374542.014397,336872765.4059693,11030108.574060276,204036213.24145833,3890549.764113499
7029372607.9499,336370952.9466833,11013116.024232682,204551903.13206685,3895598.9471155405
7029370676.865478,335869887.89829475,10996175.313492145,205066798.57118806,3900640.351545579
7029368748.752038,335369569.1522465,10979285.112128815,205580901.98245117,3905674.001133664
7029366823.600722,334869995.60140574,10962444.151551671,206094215.72731754,3910699.9190011546
7029364901.402893,334371166.1400729,10945651.221405191,206606742.10793817,3915718.1276886933
7029362982.150127,333873079.6639894,10928905.166822156,207118483.3698764,3920728.649182867
7029361065.834203,333375735.0703457,10912204.88580616,207629441.7047022,3925731.504941605
7029359152.44709,332879131.2577879,10895549.326737719,208139619.25246388,3930726.715918384
7029357241.980947,332383267.1264247,10878937.485998105,208649018.10404354,3935714.3025852866
7029355334.428103,331888141.5778335,10862368.405705396,209157640.3034011,3940694.284954976
7029353429.78106,331393753.51506627,10845841.1715574,209665487.8497128,3945666.6826016307
7029351528.032477,330900101.84265506,10829354.91077643,210172562.6994084,3950631.514680896
7029349629.175168,330407185.4666169,10812908.790151121,210678866.76811293,3955588.7999488907
7029347733.202092,329915003.2944587,10796502.014170691,211184401.93249622,3960538.5567803197
7029345840.106348,329423554.2351814,10780133.823247304,211689170.0320357,3965480.803185732
7029343949.881167,328932837.1992843,10763803.492022354,212193172.87069583,3970415.5568279657
7029342062.51991,328442851.0987687,10747510.32775272,212696412.21852842,3975342.835037815
7029340178.016056,327953594.8471413,10731253.668773213,213198889.81319752,3980262.6548289615
7029338296.363203,327465067.3594176,10715032.883031618,213700607.3614324,3985175.0329122012
7029336417.5550585,326977267.55212456,10698847.366692895,214201566.54041204,3990079.985708999
7029334541.585436,326490194.3433035,10682696.542809296,214701768.99908432,3994977.5293644066
7029332668.448249,326003846.6525125,10666579.860053254,215201216.3594232,3999867.679759369
7029330798.137509,325518223.40082854,10650496.791510109,215699910.21762636,4004750.4525224552
7029328930.647322,325033323.51084965,10634446.833527828,216197852.1452568,4009625.86304103
7029327065.971877,324549145.9066967,10618429.50462103,216695043.69033018,4014493.926471905
7029325204.105453,324065689.5140148,10602444.344426773,217191486.3783514,4019354.657751486
7029323345.042405,323582953.25997496,10586490.912709612,217687181.71330202,4024208.071605441
7029321488.777169,323100936.07327527,10570568.788413659,218182131.1785813,4029054.1825579144
7029319635.304253,322619636.8841419,10554677.568759382,218676336.23790288,4033893.004940306
7029317784.618235,322139054.6243302,10538816.868383054,219169798.33614933,4038724.5528996377
7029315936.713762,321659188.2271253,10522986.31851682,219662518.9001863,4043548.840406527
7029314091.585546,321180036.62734264,10507185.566207493,220154499.33963844,4048365.8812627816
7029312249.228358,320701598.7613289,10491414.273572208,220645741.04762885,4053175.689108641
7029310409.6370325,320223873.5669617,10475672.117089245,221136245.4014836,4057978.277429673
