S,E,累计确诊,治愈人数,死亡人数
7104379083.95678,370035734.04321975,24757714.0,83577300.0,2454347.0
7099893280.824641,374171466.74825513,24694501.054362178,83983783.46350098,2461146.9092407227
7095421756.292179,378289008.26468956,24636255.918634024,84389229.06797019,2467929.456527382
7090963587.952855,382389298.20874405,24582878.45491065,84793718.37718116,2474696.0063097216
7086517873.851199,386473254.85664994,24534271.08581992,85197331.31079754,2481447.8955337876
7082083731.94643,390541775.70122164,24490338.73159057,85600146.18641311,2488186.4343452007
7077660299.590794,394595737.9931761,24450988.748697437,86002239.76055849,2494912.906775142
7073246733.022202,398635999.26764613,24416130.870042987,86403687.26870055,2501628.571409489
7068842206.870743,402663397.85632074,24385677.146635503,86804562.46425973,2508334.66204152
7064445913.678666,406678753.38563067,24359541.890725356,87204937.6566697,2515032.388308601
7060057063.433437,410682867.26138425,24337641.620361824,87604883.74850352,2521722.9363132557
7055674883.113503,414676523.1402447,24319895.0053339,88004470.2716894,2528407.4692290043
7051298616.246382,418660487.38842857,24306222.81445957,88403765.42283899,2535087.127891358
7046927522.478735,422635509.52799153,24296547.864188936,88802836.09771018,2541763.0313743334
7042560877.158076,426602322.67105675,24290794.96848753,89201747.92482607,2548436.277552852
7038197970.92578,430561643.9423296,24288890.889967024,89600565.29827109,2555107.9436513744
7033838109.321073,434514174.89023125,24290764.292231437,89999351.40968473,2561779.086779112
7029480612.395693,438460601.8869734,24296345.693407785,90398168.27947296,2568450.744452149
7025124814.3389225,442401596.5178863,24305567.420830946,90797076.78725657,2575123.9351028046
7020770063.112692,446337815.9603021,24318363.566853285,91196136.70157564,2581799.6585765434
7016415720.0964775,450269903.3522866,24334669.945750397,91595406.70886834,2588478.896616756
7012061159.741722,454198488.1515025,24354424.051695082,91994944.44174229,2595162.6133376956
7007705769.235505,458124186.48448,24377565.01777233,92394806.50655589,2601851.7556858785
7003348948.173213,462047601.48656017,24404033.576008946,92795048.51032668,2608547.253890223
6998990108.239953,465969323.6327694,24433772.018391956,93195725.08698356,2615250.0219012117
6994628672.900474,469889931.05987614,24466724.1588508,93596889.9229789,2621960.957819349
6990264077.097359,473809989.8798713,24502835.296178825,93998595.78227644,2628680.944313174
6985895766.957262,477730054.4851083,24542052.1778703,94400894.53073055,2635410.8490270902
6981523199.504967,481650667.8453308,24584322.96484977,94803837.15987161,2642151.524979264
6977145842.385056,485572361.79680896,24629597.197071217,95207473.81011237,2648903.8109498345
6972763173.590984,489495657.3237998,24677825.759964988,95611853.79338948,2655668.5318596745
