S,E,累计确诊,治愈人数,死亡人数
7584533823.055526,589956.9444738675,47673.0,30016.0,2710.0
7584486208.093942,633611.0134866949,50203.76076612093,31236.631317138672,2919.50048828125
7584436065.767399,679499.359836042,52951.6894201119,32522.0608606804,3140.1224838354924
7584383179.224481,727823.8342984918,55925.27183173175,33877.84905109403,3372.8203377324685
7584327323.14704,778793.3991793925,59134.09450431097,35309.773583162605,3618.5856924617583
7584268262.652053,832625.1787179697,62588.859302947705,36823.85760687833,3878.452318701406
7584205752.178923,889545.5169812947,66301.40479315631,38426.39828544196,4153.501016810063
7584139534.355667,949791.0497783362,70284.73404194208,40123.9958996222,4444.864612092489
7584069338.837551,1013609.79693054,74553.04878156625,41923.58366394072,4753.733072237742
7583994881.1118355,1081262.2810897806,79121.78988179938,43832.45841759472,5081.3587748911095
7583915861.262381,1153022.67919496,84007.68411965165,45858.312351641034,5429.061953082611
7583831962.687841,1229180.0126022927,89228.79727679501,48009.26593368412,5798.236346186549
7583742850.76718,1310039.3819090796,94804.59363450421,50293.9021920835,6190.35508421934
7583648171.466154,1395923.2525145758,100756.00197426495,52721.30252348453,6606.97683358972
7583547549.8783245,1487172.7970227585,107105.48822952935,55301.08419024504,7049.752232890689
7583440588.694015,1584149.3006890677,113877.13497072135,58043.43967805556,7520.430647961863
7583326866.590448,1687235.6362454537,121096.72794177163,60959.17808871337,8020.867276251165
7583205936.536114,1796837.814604529,128791.84990244175,64059.76874859943,8553.03063146403
7583077324.00213,1913386.6181437091,136991.9820667147,67357.38721991745,9119.01044060562
7582940525.073137,2037339.323503602,145728.6134638105,70864.96390918667,9721.025986797236
7582795004.449905,2169181.521101412,155035.35858514433,74596.23547584124,10361.434932683122
7582640193.335508,2309429.0388598354,164948.0837179908,78565.79925309149,11042.742660840495
7582475487.196537,2458629.9779850524,175505.04240495304,82789.17090346363,11767.612169366821
7582300243.390392,2617366.8689943794,186747.02050775586,87282.84554267736,12538.874562747962
7582113778.649252,2786258.956595496,198717.49139458567,92064.36257777279,13359.540180213686
7581915366.410808,2965964.6224556174,211462.78181237532,97152.37451869251,14232.810406068798
7581704233.985333,3157183.9553714087,225032.24904927323,102566.72003689877,15162.090208955213
7581479559.548082,3360661.478859811,239478.47003823423,108328.50156010251,16151.001459660027
7581240468.945374,3577189.046737422,254857.44310041604,114460.16770884758,17203.397079945236
7580986032.302104,3807608.917842854,271228.80307705555,120985.60089858297,18323.37607794511
7580715260.417686,4052817.0216839733,288656.0506509289,127930.21045002491,19515.299528967327
