S,E,累计确诊,治愈人数,死亡人数
7416943767.088231,126499136.91176859,9885250.0,30737632.0,1138393.0
7414972992.722532,128010518.04954647,10109337.594375625,30967205.82965088,1144124.803894043
7412958078.629665,129560550.19515091,10333579.791771958,31201983.84202026,1149986.5413907818
7410899030.005502,131149087.78802711,10558113.276746348,31441969.62758967,1155978.302134302
7408795825.639794,132776012.20235556,10783070.951639935,31687169.951185983,1162100.2550230403
7406648418.708929,134441230.85648486,11008582.124424394,31937594.664143685,1168352.6460167281
7404456737.532372,136144676.36190173,11234772.688843055,32193256.62082969,1174735.7960522526
7402220686.294337,137886305.71007282,11461765.2971734,32454171.59935171,1181250.099063972
7399940145.732133,139666099.4955592,11689679.525924115,32720358.226278864,1187896.0201042031
7397614973.792595,141484061.17386732,11918632.034766605,32991837.90521039,1194674.0935597867
7395245006.257954,143340216.35256132,12148736.71898817,33268634.749035385,1201584.921460805
7392830057.342427,145234612.11421993,12380104.855741834,33550775.515733078,1208629.1718776987
7390369920.260794,147167316.3698773,12612845.244356139,33838289.54756961,1215807.5774031838
7387864367.770133,149138417.24164096,12847064.340957018,34131208.71355335,1223120.9337155242
7385313152.685888,151148022.47323188,13082866.387643076,34429567.35501661,1230570.0982198631
7382716008.373351,153196258.8672412,13320353.536445353,34733402.23419741,1238155.988764456
7380072649.215632,155283271.74794555,13559625.968292715,35042752.48569994,1245879.5824287767
7377382771.059137,157409224.44856897,13800782.007194607,35357659.57071797,1253741.9143806065
7374646051.637524,159574297.821923,14043918.229843775,35678167.23390996,1261744.076799329
7371862150.975086,161778689.77339804,14289129.57083287,36004321.4628196,1269887.217862776
7369030711.7704735,164022614.81532037,14536509.42367054,36336170.44973988,1278172.5407950827
7366151359.761602,166306303.64172632,14786149.737774547,36673764.55592315,1286601.3029731144
7363223704.072612,168630002.72264332,15038141.111611867,37017156.27804371,1295174.8150891336
7360247337.543658,170993973.91700214,15292572.882148284,37366400.21682351,1303894.440367473
7357221837.04433,173398494.1033386,15549533.210763019,37721553.04773522,1312761.5938330742
7354146763.771417,175843854.82747567,15809109.165777123,38082673.49370051,1321777.7416298422
7351021663.531762,178330361.9664076,16071386.801737921,38449822.29970504,1330944.400386854
7347846067.010881,180858335.40763775,16336451.235595554,38823062.20925468,1340263.1366305375
7344619490.028007,183428108.7432495,16604386.719901718,39202457.94260088,1349735.5662410208
7341341433.77821,186040028.97801793,16875276.713154994,39588076.176665984,1359363.3539509247
7338011385.062206,188694456.25089428,17149203.947411686,39979985.52660223,1369148.212884944
