S,E,累计确诊,治愈人数,死亡人数
7268459210.999679,239260985.00032163,21770802.0,54004826.0,1708355.0
7263395310.523133,243799165.53912187,21858023.11816477,54433358.937316895,1718320.8822631836
7258314664.49607,248344120.0403427,21953459.051417578,54863608.720984384,1728326.6911856832
7253215404.84353,252897701.69474763,22056959.224420786,55295737.05009096,1738376.1872114176
7248095703.919908,257461719.19179437,22168380.166617565,55729902.65982459,1748473.0618563856
7242953772.786808,262037938.53956074,22287585.271349058,56166261.46132203,1758620.9409609772
7237787859.556868,266628084.81470254,22414444.563822143,56604966.67677675,1768823.3878320171
7232596247.80101,271233843.84513664,22548834.477595825,57046168.96997943,1779083.906278591
7227377255.016703,275856863.8280261,22690637.639266863,57490016.57245896,1789405.9435455569
7222129231.154888,280498756.88553077,22839742.661047313,57936655.4053852,1799792.8931484928
7216850557.203379,285161100.56068015,22996043.940938275,58386229.19738885,1810248.097613694
7211539643.824586,289845439.2556237,23159441.470215306,58838879.59844797,1820774.8511266967
7206194930.045555,294553285.61441535,23329840.647951595,59294746.289985105,1831376.4020926766
7200814881.998363,299286121.85239697,23507152.1023153,59753967.091313496,1842055.9556119416
7195397991.709017,304045401.0341569,23691291.518387213,60216678.06256574,1852816.6758736216
7189942775.933088,308832548.301954,23882179.472254515,60683013.60423321,1863661.6884705396
7184447775.036359,313648962.05641794,24079741.271145284,61153106.553439885,1874594.0826381366
7178911551.918874,318496015.091259,24283906.799377285,61627088.2770693,1885616.913420216
7173332690.980827,323375055.6836459,24494610.36990285,62105088.76185929,1896733.2037641692
7167709797.128796,328287408.64184105,24711790.581239723,62587236.70157448,1907945.9465482435
7162041494.820894,333234376.31161386,24935390.179585498,63073659.58136268,1919258.106543318
7156326427.149481,338217239.5428893,25165355.925920635,63564483.75939713,1930672.6223115607
7150563254.960114,343237258.6180262,25401638.467912227,64059834.545902826,1942192.4080442514
7144750656.005498,348295674.14306146,25644192.21643749,64559836.27966148,1953820.3553409642
7138887324.133229,353393707.9031995,25892975.22655259,65064612.40208586,1965559.3349322288
7132971968.50619,358532563.6837717,26147949.082738675,65574285.528951295,1977412.198347704
7127003312.854496,363713428.0578401,26409078.78826309,66088977.51986824,1989381.779531819
7120980094.757946,368937471.14156777,26676332.65849963,66608809.54557715,2001470.8964087705
7114901064.957967,374205847.3184333,26949682.21805722,67133902.15314345,2013682.3523986842
7108764986.698094,379519695.933319,27229102.10157191,67664375.32912755,2026018.9378866865
7102570635.092069,384880141.95746005,27514569.95802215,68200348.56080216,2038483.4316465613
