S,E,累计确诊,治愈人数,死亡人数
7549886051.37574,19522337.624260284,5554514.0,9605342.0,635934.0
7549786337.23918,19355740.575577613,5642500.333924693,9778751.052185059,640849.7991333008
7549685044.917676,19192994.321724527,5725389.301392784,9954906.992175445,645843.4670313664
7549582265.979485,19033954.76437705,5803397.080834486,10133650.682828669,650910.4924751039
7549478088.108188,18878483.655581057,5876730.944684543,10314829.735980941,656046.5555654421
7549372595.262656,18726448.357983883,5945589.625111685,10498298.23440661,661247.5198414385
7549265867.830452,18577721.61489427,6010163.664735748,10683916.465195466,666509.424722061
7549157982.774945,18432181.32976849,6070635.752948509,10871550.664079275,671828.4782583567
7549049013.776393,18289710.354736894,6127181.048428998,11061072.770258056,677201.0501832684
7548939031.367237,18150196.28780089,6179967.488419846,11252360.19129513,682623.6652468805
7548828103.061853,18013531.278345402,6229156.085307947,11445295.577667613,688092.9968253771
7548716293.480974,17879611.840626363,6274901.211030494,11639766.606576,693605.860792477
7548603664.471011,17748338.674906667,6317350.869806004,11835665.774632769,699159.2096425712
7548490275.218481,17619616.495927405,6356646.95966951,12032890.199065493,704750.126855229
7548376182.359737,17493353.868413854,6392925.523271415,12231341.42708496,710375.8214911671
7548261440.086197,17369463.04932813,6426316.988380652,12430925.253083088,716033.6230101755
7548146100.245251,17247859.836592056,6456946.3985147225,12631551.543339234,721720.9763018943
7548030212.437035,17128463.424015153,6484933.634101855,12833134.067926653,727435.436920697
7547913824.107222,17011196.262173492,6510393.624563879,13035590.339523522,733174.6665163072
7547796980.636014,16895983.9249955,6533436.551692491,13238841.45884508,738936.428452109
7547679725.423473,16782754.981820848,6554168.044676271,13442811.96642508,744718.5836034481
7547562099.971355,16671440.874708047,6572689.367121171,13647429.700485865,750519.086328534
7547444143.961578,16561975.800775623,6589097.596393114,13852625.660647148,756335.9806048558
7547325895.331472,16454296.599370474,6603485.795597861,14058333.877233762,762167.3963243199
7547207390.34594,16348342.64386551,6615943.178500377,14264491.28595253,768011.54574059
7547088663.666648,16244055.737896767,6626555.267673518,14471037.607717847,773866.7200623829
7546969748.4183855,16141380.015857903,6635404.046153965,14677915.233414564,779731.2861867277
7546850676.252687,16040261.84747755,6642568.102871938,14885069.113395507,785603.6835664416
7546731477.408851,15940649.746312002,6648122.772110255,15092446.651519224,791482.4212063125
7546612180.772444,15842494.281992704,6652140.267237864,15299997.603541587,797366.074782704
7546492813.931407,15745747.996074492,6654689.808952846,15507673.979682466,803253.2838815168
