S,E,累计确诊,治愈人数,死亡人数
7338191660.749105,188694456.25089428,16933794.0,40000874.0,1383394.0
7336136868.42777,190167640.29338065,17094744.676432505,40410162.478027344,1394763.1243896484
7334063126.754636,191655232.92874473,17256237.886363395,40823341.12132979,1406240.3089258275
7331970386.278632,193157239.19680792,17418304.563801855,41240423.04289961,1417825.9178583224
7329858594.020114,194673667.65042847,17580974.889849916,41661422.10340165,1429520.3362056015
7327727693.569022,196204530.24651888,17744278.32223381,42086352.892975666,1441323.969249324
7325577625.179444,197749842.24098906,17908243.623765796,42515230.713752314,1453237.2420486752
7323408325.8607235,199309622.08747068,18072898.88977515,42948071.5630572,1465260.598973811
7321219729.465237,200883891.33968258,18238271.574545585,43384892.11727784,1477394.5032577175
7319011766.772967,202472674.55730256,18404388.51679497,43825709.71636964,1489639.436565823
7316784365.572992,204075999.2152157,18571275.964231994,44270542.348977715,1501995.8985827141
7314537450.741996,205693895.6160136,18738959.59722308,44719408.638152264,1514464.4066153406
7312270944.319926,207326396.8056237,18907464.551601674,45172327.82763593,1527045.495212109
7309984765.582896,208973538.49195248,19076815.440650877,45629319.76870247,1539739.715797291
7307678831.113434,210635358.96642926,19247036.376289226,46090404.9075268,1552547.6363201889
7305353054.868182,212311899.02834293,19418150.989488382,46555604.27306699,1565469.8409185277
7303007348.243147,214003201.91186664,19590182.44995039,47024939.46543988,1578506.9295955524
7300641620.136576,215709313.21566948,19763153.485071205,47498432.64477217,1591659.5179103385
7298255777.009574,217430280.83501825,19937086.398216184,47976106.52050998,1604928.2366808332
7295849722.944523,219166154.89627492,20112003.0863323,48457984.34116999,1618313.7316991668
7293423359.701404,220916987.6936999,20287925.05692096,48944089.8845164,1631816.6634587892
7290976586.772091,222682833.62847316,20464873.44439441,49434447.448148035,1645437.7068930012
7288509301.432707,224463749.14984947,20642869.025837854,49929081.84048081,1659177.5511244673
7286021398.794098,226259792.69836646,20821932.236198656,50428018.37211117,1673036.8992253107
7283512771.850515,228071024.65102687,21002083.182923183,50931282.84754664,1687016.467987407
7280983311.526566,229897507.26837975,21183341.66006107,51438901.557290144,1701116.9877025043
7278432906.722499,231739304.64342743,21365727.16185601,51950901.27026525,1715339.201951813
7275861444.357895,233596482.6522883,21549258.895841464,52467309.226569876,1729683.867404719
7273268809.41382,235469108.9065469,21733955.79545896,52988153.13054651,1744151.7536262923
7270654884.973505,237357252.7072267,21919836.53221609,53513461.144157454,1758743.6428932631
7268019552.261604,239260985.00032163,22106919.5274006,54043261.88065389,1773460.3300181641
