S,E,累计确诊,治愈人数,死亡人数
7029183140.233486,342639129.13779026,22666060.258384082,186325608.25566566,4390241.114667079
7029179165.981692,342130734.06816596,22638201.520054612,186855460.61644208,4400616.813637897
7029175196.616876,341623094.3459185,22610246.53890711,187384661.73840138,4410979.759890364
7029171232.155903,341116208.82466364,22582198.73833219,187913209.37172666,4421329.909368013
7029167272.61504,340610076.36033183,22554061.458412334,188441101.34662786,4431667.219581483
7029163318.009968,340104695.81114995,22525837.957910936,188968335.5713942,4441991.64957038
7029159368.355797,339600066.03762364,22497531.41621392,189494910.03049332,4452303.159866055
7029155423.667078,339096185.90251994,22469144.935225036,190020822.78271562,4462601.712455263
7029151483.95782,338593054.2708504,22440681.541215982,190546071.95936304,4472887.270744704
7029147549.2415,338090670.00985456,22412144.186632387,191070655.76248106,4483159.799526388
7029143619.531077,337589031.98898333,22383535.75185673,191594572.46313292,4493419.264943853
7029139694.839007,337088139.0798834,22354859.04692921,192117820.399715,4503665.634459169
7029135775.177252,336587990.15638137,22326116.813227598,192640397.97631255,4513898.876820739
7029131860.557292,336088584.0944687,22297311.725107003,193162303.66109443,4524118.962031873
7029127950.99014,335589919.77228653,22268446.39150054,193683535.98474652,4534325.8613201
7029124046.486351,335091996.070111,22239523.357481834,194204093.53894237,4544519.547107224
7029120147.056034,334594811.87033886,22210545.105790254,194723974.9748503,4554699.992980095
7029116252.708862,334098366.05747354,22181514.058319766,195243179.00167632,4564867.173662066
7029112363.454083,333602657.51811117,22152432.577572297,195761704.38524178,4575021.06498515
7029108479.300532,333107685.140927,22123302.968076415,196279549.94659492,4585161.643862822
7029104600.2566395,332613447.81666225,22094127.477772202,196796714.5606558,4595288.888263492
7029100726.330441,332119944.43811095,22064908.29936308,197313197.15489328,4605402.777184592
7029096857.52959,331627173.9001073,22035647.571635395,197828996.70803392,4615503.290627293
7029092993.861361,331135135.0995133,22006347.38074656,198344112.24880153,4625590.409571828
7029089135.3326645,330643826.9352061,21977009.761482432,198858542.85468692,4635664.115953396
7029085281.950057,330153248.30806637,21947636.698484756,199372287.65074697,4645724.392638645
7029081433.719743,329663398.1209662,21918230.127449278,199885345.8084325,4655771.223402722
7029077590.64759,329174275.2787578,21888791.93629533,200397716.54444402,4665804.592906864
7029073752.739133,328685878.688262,21859323.96630751,200909399.119615,4675824.486676531
7029069919.999585,328198207.25825715,21829828.01325011,201420392.8378215,4685830.891080053
7029066092.433845,327711259.8994683,21800305.828454994,201930697.04491836,4695823.793307798
7029062270.046502,327225035.5245564,21770759.119883534,202440311.12770024,4705803.181351829
7029058452.841849,326739533.0481078,21741189.553163182,202949234.51288795,4715769.043986053
7029054640.823885,326254751.386624,21711598.75259937,203457466.66613877,4725721.37074684
7029050833.996325,325770689.4585115,21681988.302163236,203965007.09108052,4735660.151914107
7029047032.362605,325287346.1840719,21652359.746455815,204471855.32836863,4745585.3784928555
7029043235.925892,324804720.4854922,21622714.591649227,204978010.9547659,4755497.042195152
7029039444.689087,324322811.28683525,21593054.306405425,205483473.582244,4765395.13542253
7029035658.654836,323841617.51403016,21563380.322773024,205988242.8571069,4775279.651248826
7029031877.82553,323361138.0948633,21533694.037062734,206492318.4591346,4785150.583403415
7029028102.20332,322881371.9589693,21503996.810701936,206995700.10074806,4795007.926254854
7029024331.790114,322402318.037822,21474289.971068855,207498387.52619356,4804851.674794909
7029020566.587591,321923975.2647258,21444574.812306844,208000380.51074675,4814681.824622974
7029016806.5972,321446342.5748071,21414852.59611926,208501678.8599358,4824498.371930853
7029013051.820171,320969418.90500593,21385124.55254535,209002282.40878305,4834301.313487915
7029009302.257517,320493203.19406754,21355391.88071768,209502191.02106485,4844090.646626593
7029005557.910041,320017694.3825345,21325655.74960145,210001404.58858895,4853866.369228239
7029001818.77834,319542891.4127385,21295917.298716202,210499923.03048941,4863628.479709319
7028998084.862815,319068793.22879267,21266177.63884032,210997746.29253826,4873376.9770079255
7028994356.163668,318595398.7765838,21236437.852698706,211494874.34647354,4883111.860570627
7028990632.680912,318122707.00376475,21206698.995634064,211991307.18934363,4892833.130339623
7028986914.414377,317650716.8597472,21176962.096262187,212487044.84286705,4902540.786740213
7028983201.363712,317179427.29569393,21147228.15711159,212982087.35280776,4912234.830668556
7028979493.528389,316708837.2645121,21117498.155247904,213476434.78836524,4921915.263479733
7028975790.907709,316238945.7208459,21087773.042883378,213970087.24157935,4931582.086976092
7028972093.500808,315769751.6210695,21058053.747971825,214463044.8267493,4941235.303395869
7028968401.306656,315301253.92328054,21028341.174789403,214955307.67986655,4950874.915402082
7028964714.324067,314833451.5872931,20998636.20450152,215446875.9580614,4960500.926071693
7028961032.5517,314366343.5746313,20968939.695716236,215937749.83906263,4970113.3388850335
7028957355.988062,313899928.84852254,20939252.48502445,216427929.52067026,4979712.15771547
7028953684.6315155,313434206.3738915,20909575.38752721,216917415.22024083,4989297.386819332
7028950018.48028,312969175.1173532,20879909.197350457,217406207.1741851,4998869.030826073
7028946357.5324335,312504834.0472075,20850254.688147463,217894305.63747767,5008427.094728669
7028942701.78592,312041182.13343245,20820612.61358931,218381710.88317838,5017971.583874244
7028939051.238552,311578218.3476786,20790983.70784365,218868423.2019653,5027502.503954927
7028935405.888012,311115941.6632629,20761368.686042067,219354442.90167868,5037019.860998923
7028931765.731857,310654351.0551629,20731768.24473627,219839770.30687606,5046523.661361796
7028928130.767524,310193445.50001115,20702183.06234342,220324405.7583979,5056013.911717968
7028924500.992328,309733223.97608936,20672613.799580816,220808349.61294365,5065490.619052415
7028920876.40347,309273685.4633229,20643061.099890243,221291602.24265796,5074953.790652565
7028917256.998039,308814828.94327533,20613525.58985216,221774164.03472692,5084403.43410039
7028913642.773012,308356653.39914304,20584007.879590042,222256035.39098385,5093839.55726469
7028910033.725261,307899157.81574976,20554508.56316504,222737216.72752455,5103262.168293555
7028906429.851552,307442341.1795415,20525028.218961265,223217708.47433195,5112671.275607016
7028902831.148551,306986202.4785813,20495567.410061862,223697511.07490948,5122066.887889866
7028899237.612825,306530740.70254403,20466126.684616115,224176624.9859235,5131449.014084658
7028895649.240846,306075954.84271157,20436706.576197784,224655050.67685416,5140817.663384867
7028892066.028989,305621843.8919676,20407307.60415492,225132788.62965468,5150172.845228219
7028888487.973541,305168406.84479296,20377930.273951303,225609839.33841878,5159514.56929018
7028884915.070701,304715642.6972606,20348575.077499766,226086203.3090562,5168842.845477597
7028881347.316578,304263550.4470311,20319242.49348754,226561881.0589758,5178157.683922498
7028877784.707201,303812129.0933476,20289932.98769386,227036873.11677644,5187459.094976035
7028874227.238516,303361377.63703156,20260647.01329998,227511180.0219453,5196747.089202579
7028870674.906388,302911295.0804779,20231385.011191785,227984802.32456332,5206021.67737395
7028867127.706608,302461880.42765063,20202147.41025522,228457740.58501783,5215282.87046379
7028863585.634889,302013132.6840784,20172934.62766462,228929995.37372193,5224530.679642069
7028860048.686871,301565050.85684997,20143747.069164198,229401567.2708408,5233765.1162697235
7028856516.858125,301117633.95461017,20114585.129342813,229872456.8660245,5242986.191893426
7028852990.144151,300670880.98755527,20085449.19190216,230342664.75814718,5252193.918240476
7028849468.540381,300224790.967429,20056339.629918594,230812191.5550526,5261388.3072138205
7028845952.042186,299779362.90751815,20027256.806098677,231281037.8733057,5270569.3708871845
7028842440.644868,299334595.82264876,19998201.073028646,231749204.33795023,5279737.121500328
7028838934.34367,298890488.72918177,19969172.77341793,232216691.58227214,5288891.571454412
7028835433.133774,298447040.64500904,19940172.240336847,232683500.24756873,5298032.733307478
7028831937.010304,298004250.5895495,19911199.79744863,233149630.98292327,5307160.619770034
7028828445.968329,297562117.583745,19882255.759235933,233615084.4449852,5316275.243700751
7028824960.00286,297120640.6500567,19853340.431221906,234079861.29775545,5325376.618102257
7028821479.108855,296679818.8124611,19824454.110186018,234543962.21237692,5334464.7561170375
7028818003.281222,296239651.096446,19795597.084374726,235007387.86693022,5343539.671023434
7028814532.514816,295800136.52900714,19766769.6337071,235470138.94623414,5352601.376231736
7028811066.804445,295361274.13864434,19737972.02997556,235932216.141651,5361649.885280369
7028807606.144868,294923062.9553577,19709204.53704183,236393620.15089664,5370685.211832177
7028804150.530798,294485502.010644,19680467.411028188,236854351.67785507,5379707.369670789
7028800699.956903,294048590.3374934,19651760.900504168,237314411.43239754,5388716.372697078
7028797254.4178095,293612326.9703855,19623085.246668816,237773800.13020596,5397712.234925702
7028793813.908098,293176710.9452859,19594440.683528583,238232518.49260062,5406694.970481734
7028790378.422312,292741741.2996429,19565827.43807098,238690567.24637207,5415664.593597363
7028786947.954951,292307417.07238394,19537245.730434075,239147947.12361702,5424621.118608687
7028783522.50048,291873737.3039121,19508695.77407197,239604658.86157823,5433564.559952575
7028780102.053324,291440701.0361029,19480177.77591631,240060703.20248824,5442494.932163606
7028776686.607872,291008307.3123008,19451691.936533935,240516080.89341694,5451412.249871087
7028773276.158479,290576555.177316,19423238.450280793,240970792.68612278,5460316.527796136
7028769870.699465,290145443.67742103,19394817.505452145,241424839.33690754,5469207.78074884
7028766470.225118,289714971.8603477,19366429.28442922,241878221.6064747,5478086.023625482
7028763074.7296915,289285138.7752836,19338073.963822335,242330940.25979114,5486951.27140583
7028759684.207412,288855943.4728692,19309751.71461064,242782996.06595227,5495803.5391505
7028756298.6524725,288427385.00519454,19281462.70227849,243234389.7980504,5504642.841998374
7028752918.059039,287999462.4257961,19253207.086948577,243685122.2330463,5513469.19516409
7028749542.421249,287572174.7896537,19224985.02351189,244135194.15164378,5522282.613935581
7028746171.733213,287145521.1531875,19196796.661754563,244584606.33816752,5531083.1136716865
7028742805.989015,286719500.5742548,19168642.1464817,245033359.58044365,5539870.709799809
7028739445.182713,286294112.1121472,19140521.61763824,245481454.6696833,5548645.417813641
7028736089.30834,285869354.8275875,19112435.210426953,245928892.40036908,5557407.253270934
7028732738.359909,285445227.78272665,19084383.055423588,246375673.5701441,5566156.231791332
7028729392.331407,285021730.041141,19056365.2786893,246821798.97970384,5574892.369054252
7028726051.216798,284598860.6678292,19028382.00188038,247267269.43269077,5583615.680796816
7028722715.010027,284176618.7292095,19000433.342355378,247712085.73559117,5592326.182811837
7028719383.705018,283755003.29311657,18972519.413279645,248156248.69763476,5601023.89094585
7028716057.295674,283334013.428799,18944640.3237274,248599759.13069665,5609708.821097192
7028712735.775881,282913648.20691603,18916796.178781353,249042617.84920177,5618380.989214133
7028709419.139504,282493906.69953537,18888987.079629947,249484825.67003143,5627040.411293043
7028706107.380393,282074787.9801297,18861213.123662286,249926383.41243243,5635687.103376614
7028702800.492378,281656291.1235745,18833474.404560782,250367291.8979282,5644321.081552118
7028699498.469275,281238415.2061449,18805771.01239161,250807551.9502321,5652942.361949714
7028696201.304884,280821159.3055132,18778103.03369297,251247164.39516288,5661550.960740787
7028692908.992988,280404522.5007459,18750470.5515613,251686130.0605623,5670146.894136338
7028689621.527357,279988503.87230134,18722873.645735353,252124449.77621466,5678730.178385404
7028686338.901747,279573102.5020268,18695312.392678328,252562124.37376815,5687300.829773528
7028683061.1098995,279158317.4731559,18667786.865658015,252999154.68665853,5695858.86462125
7028679788.145545,278744147.8703061,18640297.134825025,253435541.5500342,5704404.299282653
7028676520.0024,278330592.77947575,18612843.26728915,253871285.8006835,5712937.150143932
7028673256.674171,277917651.28804195,18585425.327193916,254306388.2769635,5721457.433622
7028669998.154552,277505322.48475754,18558043.375789333,254740849.8187308,5729965.166163134
7028666744.437226,277093605.45974874,18530697.471502922,255174671.26727372,5738460.364241651
7028663495.515866,276682499.3045127,18503387.67000904,255607853.46524647,5746943.044358611
7028660251.384136,276272003.11191475,18476114.024296544,256040397.2566047,5755413.223040561
7028657012.035691,275862115.97618604,18448876.584734853,256472303.4865428,5763870.916838304
7028653777.464176,275452836.9929209,18421675.399138417,256903573.00143254,5772316.142325701
7028650547.663228,275044165.25907445,18394510.51282965,257334206.64876348,5780748.916098501
7028647322.626475,274636099.87296027,18367381.968700364,257764205.27708462,5789169.254773197
7028644102.347541,274228639.93424755,18340289.807271734,258193569.73594767,5797577.17498592
7028640886.820039,273821784.5439591,18313234.066752817,258622300.87585154,5805972.693391348
7028637676.037578,273415532.8044685,18286214.783097696,259050399.54818836,5814355.826661651
7028634469.993758,273009883.81949806,18259231.99006124,259477866.6051907,5822726.591485457
7028631268.682177,272604836.6941162,18232285.719253536,259904702.89988023,5831085.004566845
7028628072.096423,272200390.53473496,18205376.000193026,260330909.28601757,5839431.082624364
7028624880.230083,271796544.449108,18178502.86035836,260756486.61805332,5847764.842390077
7028621693.076737,271393297.5463279,18151666.325239033,261181435.75108048,5856086.300608625
7028618510.629961,270990648.93682384,18124866.41838478,261605757.5407879,5864395.474036315
7028615332.883326,270588597.7323595,18098103.16145382,262029452.84341493,5872692.379440239
7028612159.8303995,270187143.04603046,18071376.574259937,262452522.51570722,5880977.033597399
7028608991.464746,269786283.992262,18044686.674818415,262874967.41487357,5889249.453293867
7028605827.779928,269386019.68680686,18018033.47939091,263296788.39854395,5897509.655323966
7028602668.769504,268986349.2467428,17991417.00252923,263717986.32472846,5905757.656489459
7028599514.427029,268587271.79047036,17964837.25711805,264138562.05177733,5913993.473598771
7028596364.7460575,268188786.4377108,17938294.254416652,264558516.43834203,5922217.123466226
7028593219.720141,267790892.3095035,17911788.00409962,264977850.34333724,5930428.622911302
7028590079.342831,267393588.528204,17885318.514296588,265396564.6259038,5938627.988757906
7028586943.607675,266996874.21748155,17858885.79163103,265814660.1453725,5946815.237833664
7028583812.50822,266600748.502317,17832489.841258135,266232137.76122913,5954990.386969237
7028580686.038013,266205210.5090006,17806130.666901737,266648998.33307981,5963153.452997644
7028577564.190601,265810259.36512968,17779808.27089041,267065242.72061786,5971304.452753612
7028574446.95953,265415894.19960654,17753522.65419267,267480871.78359094,5979443.403072928
7028571334.338345,265022114.14263624,17727273.816451345,267895886.3817694,5987570.3207918275
7028568226.32059,264628918.3257244,17701061.756017115,268310287.37491518,5995685.22274638
7028565122.899813,264236305.88167503,17674886.46998126,268724075.6227518,6003788.125771901
7028562024.06956,263844275.94458845,17648747.954207618,269137251.98493457,6011879.046702373
7028558929.823379,263452827.649859,17622646.20336377,269549817.32102233,6019958.002369887
7028555840.154816,263061960.134173,17596581.210951496,269961772.49044913,6028025.009604093
7028552755.057422,262671672.53550652,17570552.969336495,270373118.3524971,6036080.085231665
7028549674.524747,262281963.99312338,17544561.46977738,270783855.76627004,6044123.246075782
7028546598.5503435,261892833.6475729,17518606.702453997,271193985.5906673,6052154.508955624
7028543527.127766,261504280.6406879,17492688.65649506,271603508.6843587,6060173.890685873
7028540460.250569,261116304.11558253,17466807.320005123,272012425.90575993,6068181.408076236
7028537397.9123125,260728903.21665013,17440962.6800909,272420738.11300856,6076177.077930975
7028534340.106556,260342077.08956128,17415154.722886976,272828446.16394085,6084160.917048448
7028531286.826861,259955824.88126162,17389383.43358086,273235550.91606885,6092132.942220667
7028528238.066794,259570145.73996976,17363648.7964375,273642053.22655845,6100093.170232866
7028525193.819924,259185038.81517527,17337950.794823136,274047953.95220757,6108041.617863071
7028522154.079821,258800503.25763664,17312289.411228653,274453253.9494254,6115978.301881697
7028519118.840058,258416538.21937913,17286664.627292328,274857954.07421184,6123903.239051144
7028516088.094215,258033142.85369286,17261076.423822045,275262055.1821374,6131816.446125405
7028513061.835872,257650316.31513065,17235524.78081698,275665558.1283242,6139717.939849689
7028510040.058612,257268057.75950608,17210009.677488763,276068463.76742655,6147607.736960048
7028507022.756023,256886366.34389138,17184531.09228214,276470772.953613,6155485.854183019
7028504009.921699,256505241.22661552,17159089.002895117,276872486.540548,6163352.308235273
7028501001.549233,256124681.56726208,17133683.386298664,277273605.38137496,6171207.115823268
7028497997.632228,255744686.5266674,17108314.21875589,277674130.3286987,6179050.293642924
7028494998.164285,255365255.2669184,17082981.47584081,278074062.23456925,6186881.858379293
7028492003.139013,254986386.95135072,17057685.13245663,278473401.9504657,6194701.8267062465
7028489012.550026,254608080.7445467,17032425.1628536,278872150.3272803,6202510.215286167
7028486026.39094,254230335.8123334,17007201.54064644,279270308.21530354,6210307.0407696515
7028483044.655376,253853151.3217806,16982014.238831367,279667876.464209,6218092.319795216
7028480067.336963,253476526.4411989,16956863.229802664,280064855.92303914,6225866.068989017
7028477094.429331,253100460.34013763,16931748.48536891,280461247.4401909,6233628.304964574
7028474125.926116,252724952.18938312,16906669.97676878,280857051.86340237,6241379.044322501
7028471161.82096,252350001.1609565,16881627.674686473,281252270.0397392,6249118.303650245
7028468202.107511,251975606.4281119,16856621.54926678,281646902.8155818,6256846.099521836
7028465246.779418,251601767.16533452,16831651.570129797,282040951.03661263,6264562.448497636
7028462295.83034,251228482.5483386,16806717.70638524,282434415.547804,6272267.367124099
7028459349.253941,250855751.75406557,16781819.92664648,282827297.19340616,6279960.87193354
7028456407.043886,250483573.96068212,16756958.199044183,283219596.81693554,6287642.979443907
7028453469.193851,250111948.3475783,16732132.49123967,283611315.2611637,6295313.706158557
7028450535.697516,249740874.09536546,16707342.770437913,284002453.3681061,6302973.068566046
7028447606.548566,249370350.38587463,16682589.00340025,284393011.9790118,6310621.083139916
7028444681.74069,249000376.40215433,16657871.156456772,284782991.9343525,6318257.766338494
7028441761.267588,248630951.32846886,16633189.195518438,285172394.07381314,6325883.134604694
7028438845.12296,248262074.3502963,16608543.086088868,285561219.23628163,6333497.204365826
7028435933.300517,247893744.65432668,16583932.793275872,285949468.2598395,6341099.992033408
7028433025.793974,247525961.42846012,16559358.281802697,286337141.9817526,6348691.514002986
7028430122.597053,247158723.8618049,16534819.516019,286724241.2384622,6356271.786653958
7028427223.70348,246792031.1446756,16510316.459911563,287110766.8655762,6363840.826349402
