S,E,累计确诊,治愈人数,死亡人数
7546017575.003925,15745747.996074492,6648346.0,15983453.0,809057.0
7545633669.155943,15884107.053712755,6664625.487487612,16207850.908813477,813926.3940429688
7545248842.835184,16021228.946235206,6682501.216967172,16432798.290074503,818807.7115386872
7544863004.019449,16157224.988791492,6701898.849302172,16658349.020847382,823702.1216097081
7544476064.997761,16292200.44940574,6722748.344833208,16884554.469069067,828610.7389309743
7544087942.12117,16426254.892474525,6744983.720809307,17111463.638667013,833534.6268788502
7543698555.567639,16559482.502827259,6768542.822540874,17339123.30648974,838474.8005024898
7543307829.120211,16691972.391450059,6793367.107497952,17567578.151513245,843432.229327593
7542915689.957705,16823808.88391174,6819401.441621435,17796870.876760215,848407.84000203
7542522068.457235,16955071.79247165,6846593.907156306,18027042.32434424,853402.5187922801
7542126898.007884,17085836.67279349,6874895.62135511,18258131.58402792,858417.1139391231
7541730114.834884,17216175.066136863,6904260.56543672,18490176.095661793,863452.4378805453
7541331657.833731,17346154.727848925,6934645.423220303,18723211.74585018,868509.269349371
7540931468.413657,17475839.842931792,6966009.428887169,18957272.959170543,873588.3553527062
7540529490.349934,17605291.2294175,6998314.223354199,19192392.784254443,878690.4130398794
7540125669.644502,17734566.530240737,7031523.718771744,19428602.975020733,883816.1314651876
7539719954.394466,17863720.394260574,7065603.970686445,19665934.067335233,888966.1732513974
7539312294.668004,17992804.647045396,7100523.057435452,19904415.451355595,894141.176159615
7538902642.38726,18121868.45200051,7136250.966363007,20144075.43980541,899341.7545708227
7538490951.21785,18250958.462385073,7172759.486473544,20384941.332407873,904568.5008840768
7538077176.464577,18380118.964733995,7210022.107157249,20627039.476696197,909821.9868360838
7537661274.973032,18509392.014171276,7248013.922644657,20870395.325405788,915102.7647465994
7537243205.036725,18638817.56207369,7286711.541866247,21115033.490641534,920411.3686938488
7536822926.309444,18768433.5765177,7326093.003411376,21360977.79500262,925748.3156239267
7536400399.7225485,18898276.155918073,7366137.695298146,21608251.319837,931114.1063979097
7535975587.406906,19028379.636243366,7406826.279282132,21856876.45078792,936509.2267802082
7535548452.619224,19158776.69217185,7448140.61944728,22106874.92078566,941934.1483714792
7535118959.672514,19289498.432530664,7490063.714836818,22358267.850629065,947389.3294892384
7534687073.87047,19420574.490341708,7532579.635895704,22611075.787293173,952875.2159991286
7534252761.44552,19552033.107779436,7575673.464509061,22865318.740091655,958392.2420996382
7533815989.5003605,19683901.21632838,7619331.237433257,23121016.214815382,963940.8310629016
