S,E,累计确诊,治愈人数,死亡人数
7584527812.0,674249.0,2011.0,51.0,56.0
7584527808.256712,671186.852754563,5023.743377685547,97.82595825195312,62.321197509765625
7584527798.905484,668144.2373968874,7942.941354228338,214.80338126141578,78.11238305363804
7584527784.120443,665120.89098714,10771.154982138936,399.75407258454266,103.07951438559357
7584527764.070948,662116.5565482547,13510.876434243171,650.5594696601045,136.9365994429761
7584527738.921718,659130.9829106067,16164.530851163196,965.1590399520826,179.40547983625754
7584527708.832959,656163.9245608329,18734.478139266623,1341.5487201106982,230.21562014600514
7584527673.9604845,653215.1414946856,21223.01472041162,1777.779396998529,289.103902871361
7584527634.4558325,650284.399073812,23632.375234780262,2271.9554294592854,355.81442887851426
7584527590.466382,647371.4678863554,25964.7341980578,2822.2332097369144,430.09832320170665
7584527542.135465,644476.1236112742,28222.207614181727,3426.8197634819735,511.7135460532677
7584527489.602472,641598.14688628,30406.854544851845,4083.971387310729,600.424708903021
7584527433.002965,638737.3231792975,32520.678636960427,4791.992322910154,696.0028954911479
7584527372.468773,635893.4426633519,34565.629609070646,5549.233466709007,798.2254876422381
7584527308.128097,633066.3000947929,36543.60469804111,6354.091114161427,906.8759957518047
7584527240.105606,630255.694694764,38456.45006686498,7205.005737715058,1021.7438938199881
7584527168.522534,627461.430033832,40305.96217476338,8100.460797560578,1142.6244589105365
7584527093.49677,624683.3139196913,42093.88911054511,9038.981584283736,1269.318614916415
7584527015.142948,621921.1582878602,43821.93189021741,10019.134092564556,1401.6327805165784
7584526933.572538,619174.7790952906,45491.745719806124,11039.523925091285,1539.3787212115367
7584526848.893928,616443.9962168108,47104.941224318034,12098.795225879006,1682.3734053283588
7584526761.212505,613728.6333443278,48663.08564375302,13195.629642204527,1830.4388638886846
7584526670.630745,611028.5178887134,50167.703997049364,14328.745314390304,1983.402054236175
7584526577.248281,608343.4808843036,51620.28021482199,15496.89589269074,2141.0947273226034
7584526481.161983,605673.3568959401,53022.25824173012,16698.86958055418,2303.353298554496
7584526382.466036,603017.9839284874,54375.043109288614,17933.48820355345,2470.0187221048564
7584526281.252008,600377.2033387568,55680.00197991547,19199.606303296714,2640.936368597066
7584526177.608925,597750.8597497757,56938.465162986395,20496.110255648873,2815.955906070555
7584526071.623332,595138.8009673371,58151.727103647114,21821.91741261172,2994.931184140245
7584525963.379368,592540.8778987696,59321.04734511363,23175.975267228503,3177.7201212641357
7584525852.958825,589956.9444738675,60447.65146517125,24557.260640895547,3364.184595035703
