S,E,累计确诊,治愈人数,死亡人数
7533872033.783671,19683901.21632838,7521067.0,23155807.0,971370.0
7530136493.392236,23312516.118979324,7378958.135299879,23403005.15548706,973206.1979980469
7526473352.400255,26849020.51827259,7261265.822445203,23645532.557578065,975007.7014490478
7522870391.044143,30306134.533923365,7166681.234887203,23884191.715621687,976780.4714252307
7519316063.824197,33695834.924430534,7094007.980711963,24119742.121199492,978530.1494610918
7515799441.305364,37029417.32435039,7042154.341718926,24352903.94356359,980262.0850032578
7512310156.159929,40317553.9015551,7010126.107556613,24584361.469992768,981981.3609655916
7508838353.107096,43570346.804411165,6997019.960333038,24814766.310625046,983692.8175348194
7505374642.4338045,46797377.73737085,7002017.3686040295,25044740.38585938,985401.0743610725
7501910056.807883,50007753.974947914,7024378.952842209,25274878.713068444,987110.5512577044
7498436011.118785,53210151.09814245,7063439.287427992,25505752.00811883,988825.4875254881
7494944265.103224,56412852.71381744,7118602.106904615,25737909.116046075,990549.9600077703
7491426888.533057,59623787.39607355,7189335.8867223635,25971879.28417157,992287.8999752763
7487876228.76101,62850563.06910611,7275169.77098162,26208174.28996991,994043.1089319957
7484284880.436523,66100499.03317112,7375689.821786852,26447290.43509159,995819.2734268643
7480645657.219211,69380655.81896819,7490535.56675956,26689710.416111622,997619.9789497615
7476951565.331352,72697863.0408178,7619396.823041366,26935905.08180376,999448.7229846149
7473195778.803588,76058745.40533522,7762010.777761389,27186335.086027868,1001308.9272871152
7469371616.279669,79469747.01976453,7918159.306456413,27441452.444659736,1003203.9494496547
7465472519.256849,82937154.13262598,8087666.512328388,27701702.00438427,1005137.0938115825
7461492031.6483555,86467116.42875336,8270396.470511101,27967522.8306104,1007111.621768694
7457423780.563448,90065666.99106784,8466251.162705118,28239349.52124579,1009130.7615320024
7453261458.208919,93738741.03247389,8675168.588635141,28517613.45258836,1011197.7173822721
7448998804.823594,97492193.49300064,8897121.041794052,28802743.963146225,1013315.6784634818
7444629592.564503,101331815.5896852,9132113.537869724,29095169.480785757,1015487.827155326
7440147610.269955,105263350.39964582,9380182.38511018,29395318.598226115,1017717.3470620326
7435546649.030856,109292507.55026935,9641393.886675501,29703621.10154532,1020007.4306521474
7430820488.507232,113424977.08439334,9915843.165755855,30020508.956035964,1022361.2865815115
7425962883.93216,117666442.56275348,10203653.104909204,30346417.253445603,1024782.1467294011
7420967553.750218,122022593.46075438,10504973.391693372,30681785.124355856,1027273.2729757169
7415828167.842051,126499136.91176859,10819979.663239606,31027056.619193923,1029837.9637451733
