S,E,累计确诊,治愈人数,死亡人数
7580609264.978316,4052817.0216839733,397001.0,120135.0,24961.0
7580559040.290063,4031553.4214083683,457912.4491434734,128397.77716064453,27275.062225341797
7580501110.0641165,4018370.430876452,516826.0328065528,137928.30359850614,29944.16860310069
7580435727.216123,4012872.599273159,573937.5129825315,148684.99776275386,32956.673860243376
7580363119.910911,4014696.2020198894,629430.460783622,160630.35249462907,36302.07379248409
7580283493.103455,4023507.140189418,683477.1408526953,173730.68129878037,39970.93420537691
7580197029.968277,4038998.988531269,736239.3351601013,187955.8830218498,43954.82501051805
7580103893.224916,4060891.1818622393,787869.1104218294,203279.22367673228,48246.25912354232
7580004226.366558,4088927.33028686,838509.533081684,219677.13423910068,52838.63583529065
7579898154.798425,4122873.654373889,888295.33552692,237129.02332484617,57726.18835050677
7579785786.892075,4162517.532030789,937353.5369524909,255617.10373345698,62903.9352098098
7579667214.961313,4207666.149391632,985804.0220524138,275126.2319134374,68367.63533059611
7579542516.165044,4258145.248567869,1033760.0804965241,295643.7594720234,74113.74642105054
7579411753.341995,4313797.965608649,1081328.9099459492,317159.39591302164,80139.3865386908
7579274975.781926,4374483.752480276,1128612.0851699172,339665.0818439035,86442.29858091725
7579132219.93759,4440077.377305465,1175705.9956490512,363154.87194662215,93020.81750997774
7578983510.081427,4510467.997504299,1222702.2538851637,387624.82705626125,99873.84012865965
7578828858.910691,4585558.300852401,1269688.0764839104,413072.9147378311,107000.79723596148
7578668268.104449,4665263.709819614,1316746.6399336855,439498.9177945336,114401.62800404092
7578501728.835644,4749511.644876235,1363957.4128711133,466904.35018084873,122076.75642894735
7578329222.241197,4838240.842755287,1411396.4664997137,495292.37983105925,130027.06971808257
7578150719.852912,4931400.725939826,1459136.764713163,524667.7579485155,138253.89848704758
7577966183.991747,5028950.819905499,1507248.435367418,555036.7543332316,146758.99864757658
7577775568.1278305,5130860.214891667,1555799.0240463004,586407.098355466,155544.53487667744
7577578817.208451,5237107.069200719,1604853.731572392,618787.9252109219,164613.0655649356
7577375867.956067,5347678.151235874,1654475.6364288165,652189.7271192585,173967.5291492351
7577166649.138246,5462568.417683846,1704725.903177229,686624.3091518651,183611.2317419446
7576951081.811315,5581780.625431304,1755663.9778826593,722104.749397436,193547.83597494173
7576729079.539363,5705324.974973944,1807347.7714864109,758645.3631949206,203781.35098274166
7576500548.590125,5833218.783235201,1859833.8320036016,796261.6711830106,214316.12345447947
7576265388.109158,5965486.1838588,1913177.5063618415,834970.3709335738,225156.8296896079
